Time,Total arrivals
Jan-1976,203000
Feb-1976,137000
Mar-1976,119000
Apr-1976,102100
May-1976,129000
Jun-1976,100200
Jul-1976,116700
Aug-1976,144200
Sep-1976,160600
Oct-1976,157700
Nov-1976,132100
Dec-1976,139900
Jan-1977,219600
Feb-1977,133500
Mar-1977,120800
Apr-1977,110300
May-1977,115900
Jun-1977,109000
Jul-1977,131400
Aug-1977,140200
Sep-1977,166900
Oct-1977,150500
Nov-1977,152600
Dec-1977,147100
Jan-1978,208500
Feb-1978,134700
Mar-1978,128600
Apr-1978,115800
May-1978,136000
Jun-1978,116200
Jul-1978,141700
Aug-1978,152800
Sep-1978,184000
Oct-1978,164800
Nov-1978,163100
Dec-1978,168600
Jan-1979,228000
Feb-1979,151100
Mar-1979,151000
Apr-1979,140500
May-1979,163600
Jun-1979,154200
Jul-1979,172100
Aug-1979,177400
Sep-1979,201100
Oct-1979,185200
Nov-1979,187100
Dec-1979,193500
Jan-1980,232200
Feb-1980,185600
Mar-1980,192900
Apr-1980,157700
May-1980,173500
Jun-1980,177900
Jul-1980,185500
Aug-1980,184800
Sep-1980,193300
Oct-1980,198500
Nov-1980,201200
Dec-1980,200700
Jan-1981,233200
Feb-1981,180100
Mar-1981,194800
Apr-1981,169800
May-1981,177800
Jun-1981,186400
Jul-1981,190900
Aug-1981,188500
Sep-1981,192600
Oct-1981,209300
Nov-1981,204600
Dec-1981,202800
Jan-1982,252300
Feb-1982,185100
Mar-1982,191000
Apr-1982,190500
May-1982,178600
Jun-1982,176200
Jul-1982,211900
Aug-1982,200800
Sep-1982,210600
Oct-1982,213400
Nov-1982,200400
Dec-1982,198900
Jan-1983,251200
Feb-1983,178300
Mar-1983,173600
Apr-1983,170300
May-1983,167400
Jun-1983,167100
Jul-1983,199000
Aug-1983,192000
Sep-1983,200000
Oct-1983,217900
Nov-1983,194500
Dec-1983,205600
Jan-1984,254200
Feb-1984,187900
Mar-1984,177700
Apr-1984,187600
May-1984,195500
Jun-1984,186600
Jul-1984,213000
Aug-1984,206300
Sep-1984,239400
Oct-1984,239100
Nov-1984,224300
Dec-1984,231700
Jan-1985,281000
Feb-1985,221200
Mar-1985,220100
Apr-1985,195600
May-1985,209500
Jun-1985,205000
Jul-1985,221900
Aug-1985,229600
Sep-1985,258900
Oct-1985,267000
Nov-1985,249300
Dec-1985,250600
Jan-1986,303700
Feb-1986,237500
Mar-1986,242400
Apr-1986,224900
May-1986,224900
Jun-1986,224700
Jul-1986,254500
Aug-1986,269300
Sep-1986,277700
Oct-1986,294400
Nov-1986,291200
Dec-1986,294200
Jan-1987,346700
Feb-1987,277500
Mar-1987,264900
Apr-1987,259700
May-1987,247300
Jun-1987,240400
Jul-1987,316200
Aug-1987,307700
Sep-1987,303100
Oct-1987,368600
Nov-1987,326600
Dec-1987,334100
Jan-1988,384800
Feb-1988,314800
Mar-1988,313400
Apr-1988,300800
May-1988,278600
Jun-1988,301200
Jul-1988,386900
Aug-1988,354400
Sep-1988,360800
Oct-1988,416200
Nov-1988,357800
Dec-1988,371400
Jan-1989,417200
Feb-1989,342800
Mar-1989,331400
Apr-1989,319500
May-1989,274000
Jun-1989,301200
Jul-1989,393300
Aug-1989,339800
Sep-1989,355400
Oct-1989,409600
Nov-1989,363300
Dec-1989,383600
Jan-1990,452800
Feb-1990,371600
Mar-1990,343700
Apr-1990,357700
May-1990,309900
Jun-1990,324600
Jul-1990,417800
Aug-1990,379700
Sep-1990,386900
Oct-1990,439700
Nov-1990,374400
Dec-1990,399400
Jan-1991,462100
Feb-1991,350100
Mar-1991,350000
Apr-1991,306900
May-1991,308800
Jun-1991,342200
Jul-1991,427600
Aug-1991,388000
Sep-1991,400100
Oct-1991,459600
Nov-1991,406700
Dec-1991,415300
Jan-1992,477800
Feb-1992,412300
Mar-1992,375700
Apr-1992,379300
May-1992,342000
Jun-1992,342000
Jul-1992,462400
Aug-1992,403500
Sep-1992,408200
Oct-1992,491600
Nov-1992,440700
Dec-1992,454600
Jan-1993,538200
Feb-1993,431000
Mar-1993,415000
Apr-1993,405600
May-1993,379400
Jun-1993,377700
Jul-1993,491900
Aug-1993,437700
Sep-1993,439200
Oct-1993,534700
Nov-1993,464400
Dec-1993,494500
Jan-1994,549000
Feb-1994,488600
Mar-1994,480900
Apr-1994,440400
May-1994,385800
Jun-1994,414600
Jul-1994,546000
Aug-1994,472500
Sep-1994,486000
Oct-1994,573300
Nov-1994,501900
Dec-1994,547100
Jan-1995,615700
Feb-1995,523800
Mar-1995,498100
Apr-1995,499300
May-1995,434700
Jun-1995,462400
Jul-1995,603800
Aug-1995,525500
Sep-1995,520000
Oct-1995,613300
Nov-1995,550600
Dec-1995,603400
Jan-1996,660700
Feb-1996,609000
Mar-1996,571600
Apr-1996,559300
May-1996,455600
Jun-1996,525400
Jul-1996,646900
Aug-1996,574100
Sep-1996,578700
Oct-1996,672500
Nov-1996,609300
Dec-1996,658600
Jan-1997,703800
Feb-1997,635300
Mar-1997,619200
Apr-1997,552400
May-1997,501700
Jun-1997,547200
Jul-1997,710700
Aug-1997,593000
Sep-1997,620000
Oct-1997,710200
Nov-1997,633800
Dec-1997,647900
Jan-1998,712200
Feb-1998,611700
Mar-1998,574800
Apr-1998,597800
May-1998,532900
Jun-1998,560400
Jul-1998,696700
Aug-1998,614100
Sep-1998,628700
Oct-1998,731000
Nov-1998,638200
Dec-1998,680900
Jan-1999,754300
Feb-1999,653400
Mar-1999,635700
Apr-1999,601900
May-1999,550000
Jun-1999,566700
Jul-1999,734900
Aug-1999,645400
Sep-1999,674200
Oct-1999,776200
Nov-1999,686400
Dec-1999,696400
Jan-2000,753400
Feb-2000,708900
Mar-2000,663500
Apr-2000,707500
May-2000,594500
Jun-2000,615300
Jul-2000,794200
Aug-2000,679400
Sep-2000,753300
Oct-2000,821600
Nov-2000,759500
Dec-2000,820600
Jan-2001,874800
Feb-2001,733100
Mar-2001,707600
Apr-2001,719300
May-2001,603000
Jun-2001,656300
Jul-2001,835300
Aug-2001,697900
Sep-2001,705900
Oct-2001,750300
Nov-2001,625200
Dec-2001,753200
Jan-2002,787600
Feb-2002,708100
Mar-2002,729800
Apr-2002,649900
May-2002,598300
Jun-2002,625000
Jul-2002,802000
Aug-2002,691600
Sep-2002,692100
Oct-2002,828800
Nov-2002,714900
Dec-2002,769800
Jan-2003,838900
Feb-2003,720600
Mar-2003,672800
Apr-2003,574100
May-2003,487900
Jun-2003,545900
Jul-2003,771500
Aug-2003,675600
Sep-2003,727000
Oct-2003,839300
Nov-2003,774100
Dec-2003,837500
Jan-2004,930200
Feb-2004,815100
Mar-2004,754000
Apr-2004,770600
May-2004,671200
Jun-2004,705700
Jul-2004,952600
Aug-2004,785000
Sep-2004,812700
Oct-2004,951700
Nov-2004,838200
Dec-2004,919500
Jan-2005,1073800
Feb-2005,879100
Mar-2005,882600
Apr-2005,809600
May-2005,708700
Jun-2005,763400
Jul-2005,1031900
Aug-2005,847800
Sep-2005,893000
Oct-2005,989400
Nov-2005,842200
Dec-2005,944700
Jan-2006,1092400
Feb-2006,892900
Mar-2006,845900
Apr-2006,849400
May-2006,722600
Jun-2006,779600
Jul-2006,1036200
Aug-2006,845400
Sep-2006,909100
Oct-2006,1035500
Nov-2006,893800
Dec-2006,1007600
Jan-2007,1135600
Feb-2007,929600
Mar-2007,945300
Apr-2007,909700
May-2007,780000
Jun-2007,841600
Jul-2007,1085800
Aug-2007,926300
Sep-2007,956600
Oct-2007,1107600
Nov-2007,964100
Dec-2007,1031700
Jan-2008,1208100
Feb-2008,1039500
Mar-2008,998200
Apr-2008,929800
May-2008,846000
Jun-2008,881300
Jul-2008,1163800
Aug-2008,964100
Sep-2008,959200
Oct-2008,1129100
Nov-2008,962200
Dec-2008,1033300
Jan-2009,1238600
Feb-2009,998900
Mar-2009,954200
Apr-2009,982100
May-2009,857200
Jun-2009,862700
Jul-2009,1155000
Aug-2009,1009800
Sep-2009,1045300
Oct-2009,1219100
Nov-2009,1033100
Dec-2009,1138500
Jan-2010,1352000
Feb-2010,1099700
Mar-2010,1063900
Apr-2010,1035800
May-2010,905900
Jun-2010,964900
Jul-2010,1309700
Aug-2010,1090000
Sep-2010,1151000
Oct-2010,1308300
Nov-2010,1098800
Dec-2010,1192700
Jan-2011,1459700
Feb-2011,1166400
Mar-2011,1067900
Apr-2011,1102900
May-2011,1034900
Jun-2011,996700
Jul-2011,1382300
Aug-2011,1154900
Sep-2011,1178800
Oct-2011,1389300
Nov-2011,1158000
Dec-2011,1233200
Jan-2012,1538000
Feb-2012,1234500
Mar-2012,1156100
Apr-2012,1194600
May-2012,1014800
Jun-2012,1097400
Jul-2012,1429300
Aug-2012,1203700
Sep-2012,1252500
Oct-2012,1454300
Nov-2012,1222100
Dec-2012,1323100
Jan-2013,1578400
Feb-2013,1261400
Mar-2013,1239500
Apr-2013,1226800
May-2013,1097900
Jun-2013,1161600
Jul-2013,1511200
Aug-2013,1304700
Sep-2013,1325700
Oct-2013,1532800
Nov-2013,1283800
Dec-2013,1422300
Jan-2014,1744900
Feb-2014,1339000
Mar-2014,1280100
Apr-2014,1331200
May-2014,1187500
Jun-2014,1179400
Jul-2014,1594100
Aug-2014,1362400
Sep-2014,1381000
Oct-2014,1574500
Nov-2014,1342800
Dec-2014,1455600
Jan-2015,1780400
Feb-2015,1416000
Mar-2015,1388200
Apr-2015,1365400
May-2015,1215100
Jun-2015,1233600
Jul-2015,1646100
Aug-2015,1419500
Sep-2015,1456900
Oct-2015,1650400
Nov-2015,1424700
Dec-2015,1584200
Jan-2016,1908300
Feb-2016,1560100
Mar-2016,1479900
Apr-2016,1473700
May-2016,1304800
Jun-2016,1326800
Jul-2016,1829100
Aug-2016,1511500
Sep-2016,1587300
Oct-2016,1778900
Nov-2016,1512900
Dec-2016,1716300
Jan-2017,2066300
Feb-2017,1631400
Mar-2017,1522700
Apr-2017,1649800
May-2017,1401100
Jun-2017,1421100
Jul-2017,1909100
Aug-2017,1623600
Sep-2017,1666100
Oct-2017,1879600
Nov-2017,1602200
Dec-2017,1755100
Jan-2018,2130700
Feb-2018,1729200
Mar-2018,1682300
Apr-2018,1668300
May-2018,1480400
Jun-2018,1513000
Jul-2018,2009900
Aug-2018,1718600
Sep-2018,1722000
Oct-2018,1963700
Nov-2018,1668000
Dec-2018,1853600
